t[s],U_A,U_B
-9.36564957,0.45777760,2.88399900
-9.36431557,0.45930360,2.88705100
-9.36298157,0.46082950,2.89315500
-9.36164757,0.46205020,2.89773200
-9.36031357,0.46357620,2.90231000
-9.35897957,0.46357620,2.90841400
-9.35764557,0.46510210,2.91299200
-9.35631157,0.46510210,2.91757000
-9.35497757,0.46510210,2.92062100
-9.35364357,0.46632280,2.92367300
-9.35230957,0.46632280,2.92825100
-9.35097557,0.46632280,2.93282900
-9.34964157,0.46784870,2.93893200
-9.34830757,0.46937470,2.94351000
-9.34697357,0.47059540,2.94656200
-9.34563957,0.47212130,2.95266600
-9.34430557,0.47364730,2.95571800
-9.34297157,0.47486800,2.95877000
-9.34163757,0.47639390,2.96487300
-9.34030357,0.47791980,2.96792500
-9.33896957,0.47791980,2.97402900
-9.33763557,0.47791980,2.97708100
-9.33630157,0.47914060,2.98013200
-9.33496757,0.48066650,2.98318400
-9.33363357,0.48219250,2.98928800
-9.33229957,0.48341320,2.99386600
-9.33096557,0.48493910,2.99844400
-9.32963157,0.48646500,3.00149500
-9.32829757,0.48768580,3.00454700
-9.32696357,0.48921170,3.00912500
-9.32562957,0.49043240,3.01217700
-9.32429557,0.49195840,3.01522900
-9.32296157,0.49348430,3.01980600
-9.32162757,0.49348430,3.02285900
-9.32029357,0.49470510,3.02591000
-9.31895957,0.49623100,3.02896200
-9.31762557,0.49775690,3.03354000
-9.31629157,0.49897760,3.03659200
-9.31495757,0.50050350,3.03964400
-9.31362357,0.50202950,3.04574700
-9.31228957,0.50325020,3.04879900
-9.31095557,0.50477610,3.05185100
-9.30962157,0.50630210,3.05642900
-9.30828757,0.50752280,3.05948000
-9.30695357,0.50904880,3.06253200
-9.30561957,0.50904880,3.06711000
-9.30428557,0.51057460,3.07016200
-9.30295157,0.51179540,3.07321400
-9.30161757,0.51332130,3.07779200
-9.30028357,0.51332130,3.08237000
-9.29894957,0.51484730,3.08542100
-9.29761557,0.51606800,3.08999900
-9.29628157,0.51759390,3.09305100
